gene,mean_centered_RNAPIISer5-P_Granule,mean_centered_RNAPIISer5-P_Purkinje,mean_centered_RNAPIISer5-P_MLI1,mean_centered_RNAPIISer5-P_MLI2+PLI,mean_centered_RNAPIISer5-P_Bergmann,normalized_scRNA_count_Granule,normalized_scRNA_count_Purkinje,normalized_scRNA_count_MLI1,normalized_scRNA_count_MLI2+PLI,normalized_scRNA_count_Bergmann,log10_intron_counts_Granule,log10_intron_counts_Purkinje,log10_intron_counts_MLI1,log10_intron_counts_MLI2+PLI,log10_intron_counts_Bergmann,intron_counts_Granule,intron_counts_Purkinje,intron_counts_MLI1,intron_counts_MLI2+PLI,intron_counts_Bergmann
Nell1,0.132435,1.1993449999999999,0.340125,0.29113,0.0,-0.231608093182905,4.00669122355437,-0.240334739228269,-0.21919336918922,-0.232450128385466,-3.368472838440384,-0.9932666173410316,-inf,-inf,-inf,0.0004280821917808,0.1015625,0.0,0.0,0.0
Cdh18,0.36739499999999997,0.8046149999999999,0.10533499999999998,0.26680699999999996,0.0,0.6125184,3.848094,-0.3787736,-0.234268135,-0.3951274,-1.863322860120456,-1.0658172844896434,-inf,-inf,-inf,0.0136986301369863,0.0859375,0.0,0.0,0.0
Arhgap26,0.11852000000000018,0.7249300000000001,0.0,0.27058000000000004,0.2689300000000001,0.448403,3.123069,-0.5462785,0.0862939999999999,0.1239548,-1.8913515837207013,-0.06581728448964333,-inf,-inf,-inf,0.0128424657534246,0.859375,0.0,0.0,0.0
Cntnap5b,0.0,1.437535,0.42743499999999995,0.4996650000000001,0.43729999999999997,-0.240173126813023,4.00627373448558,-0.242809607828863,-0.2047296272823945,-0.243255418554507,-3.067442842776403,-0.32905871926422475,-2.4199557484897687,-inf,-2.71432975974524,0.0008561643835616,0.46875,0.0038022813688212,0.0,0.0019305019305019
Kcnip1,0.14997500000000002,0.9321250000000001,0.123245,0.0,0.420675,-0.2215872,3.95709,-0.2941669,-0.29408035,-0.06948074,-2.368472838440364,-1.2621119296336116,-2.4199557484897687,-inf,-inf,0.0042808219178082,0.0546875,0.0038022813688212,0.0,0.0
Dpp10,0.0,1.4746299999999999,0.2934514999999999,0.5657099999999999,0.14242999999999992,0.263779361722571,3.62448017538183,-0.343008029092999,-0.426035166604545,-0.437191342952223,-1.8369939213981081,-0.028028723600243537,-1.8178957571617975,-inf,-inf,0.0145547945205479,0.9375,0.0152091254752851,0.0,0.0
Shank2,0.0,0.96379,1.0011899999999998,0.6101900000000001,0.21828999999999998,-0.648119357787082,2.82422656434209,1.60021820230031,0.289256811270577,-0.658725766584378,-2.327080153282141,-0.13872702109393326,-0.9014418086118706,-1.3424226808222068,-2.4132997640812586,0.004708904109589,0.7265625,0.1254752851711026,0.0454545454545454,0.0038610038610038
Cacnb2,0.0,0.81762,0.7517049999999998,0.42253999999999997,0.44028,-0.887050184744591,2.51954412334976,0.541730346030731,0.0568289774121642,-0.541451449388391,-2.2892915923927424,-0.6600519383056491,-inf,-inf,-2.71432975974524,0.0051369863013698,0.21875,0.0,0.0,0.0019305019305019
Lrfn5,0.0,1.218545,0.775745,0.9140499999999999,0.62883,-0.6160334,2.270237,0.3087855,0.9811199,-0.6332587,-2.1923815793846826,-0.5631419252975928,-1.6418044981061153,-1.6434526764861879,-2.71432975974524,0.0064212328767123,0.2734375,0.0228136882129277,0.0227272727272727,0.0019305019305019
Shisa6,0.0,0.832055,0.592605,0.21992500000000004,0.48755499999999996,-0.497547,3.35266,1.288497,0.1071018999999999,-0.4741177,-2.1643528557844403,-0.24388710952741247,-1.3407745024421331,-1.6434526764861879,-2.4132997640812586,0.0068493150684931,0.5703125,0.0456273764258555,0.0227272727272727,0.0038610038610038
