baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Galnt18	3.3588618166277	-3.28108151137531	0.236502808168868	-13.8733300326504	9.19087855891802e-44	2.0644614804411e-41
Sox5	8.77784393774537	5.40539546002713	0.39083326165062	13.8304386816985	1.66998966147893e-43	3.68756361182161e-41
Dgki	10.1542905755976	-4.86085150244679	0.351916703487892	-13.8125057840968	2.14247286727571e-43	4.65202275247799e-41
Rbfox2	9.20337479220948	-3.05833902352457	0.223905099505122	-13.6590860604969	1.78206302271235e-42	3.80601919014697e-40
Dpp6	35.6709585325544	-5.12729860134536	0.375602022317125	-13.6508812431695	1.99451902010801e-42	4.191063515156e-40
Macrod2	22.1241896564437	-2.38323998209286	0.174686680852647	-13.6429404374749	2.2240863104907e-42	4.59926927826554e-40
Plpp3	5.13610848770168	7.00162498442203	0.514752952903643	13.6019131991899	3.900937316815e-42	7.94084552554154e-40
Ptch1	2.65050810480285	3.47743047316178	0.256236821992452	13.5711582984908	5.93762466212336e-42	1.19008267843297e-39
Ank3	23.2195079346088	-5.71901253647787	0.423090523944142	-13.5172314500547	1.23745777933718e-41	2.44266665897042e-39
Prkg1	23.7727363791321	4.83861883913739	0.358406543803132	13.5003641055036	1.55605214777929e-41	3.02570856436845e-39
Cap2	3.06148290660301	2.66806436873644	0.197647223064595	13.4991239814408	1.5824656645939e-41	3.03181804093079e-39
Adarb2	24.2263516358212	-6.01541933139585	0.446896109840689	-13.4604423688992	2.67311051638461e-41	5.04714258079112e-39
Grm1	14.8808886566778	-6.97548989042072	0.518508671528837	-13.4529859835387	2.95686437003299e-41	5.50314700182711e-39
Atp2b1	9.38962982699879	-2.69459494616848	0.200356371736713	-13.449010494707	3.12019668167143e-41	5.72534117870639e-39
Mgat5	7.54261875105322	-5.1933513049685	0.387026229348296	-13.4186029554469	4.70499230167847e-41	8.51342218142598e-39
Camk2g	2.73670861117311	3.07161638093413	0.229165277861865	13.4034981633894	5.76790754886265e-41	1.02937396639154e-38
Ptprn2	7.79015071322308	-2.93006628898661	0.219651029948525	-13.33964284016	1.36110070704304e-40	2.39627297450767e-38
Mybpc1	3.54734640898406	8.05390908111326	0.603946380557843	13.335470399995	1.43943875549905e-40	2.50040108088556e-38
Phka1	4.29772705853425	4.3079028464271	0.323146250602082	13.3311243389043	1.52580630801619e-40	2.61555323432039e-38
Prex2	8.87010112908622	9.16525167511915	0.690218721060552	13.2787642459717	3.0742570157088e-40	5.20148316891613e-38
Slc24a3	13.8961567387132	-2.50870325412812	0.189433593309132	-13.2431804217229	4.94112494109162e-40	8.25294560673611e-38
Gabra2	2.94294674090798	3.49547041409574	0.264519969582747	13.2143914110133	7.24700831198762e-40	1.19511423150095e-37
Snap25	12.7623409836051	-3.56827452742956	0.273699672390635	-13.0371896183229	7.51773852990287e-39	1.22426371959468e-36
Tnr	20.6538629685413	-3.86239506482052	0.297955238102084	-12.9630044077198	1.98324842104735e-38	3.18984696659319e-36
Cdh20	10.1153319085044	3.82833696076398	0.295423976858576	12.9587889292976	2.0952942171985e-38	3.3134192142325e-36
Cdk19	5.39375868820557	2.50389449416849	0.19322830382056	12.9582180491203	2.11094408029857e-38	3.3134192142325e-36
Sntg1	8.22226263681949	-4.78616349219666	0.36975264399615	-12.9442306090622	2.53288065091264e-38	3.92837727620118e-36
Pnpla7	3.31834608206207	4.83400986863326	0.374101622292778	12.9216490401907	3.3978031639357e-38	5.20783289644169e-36
Etl4	14.5932057587416	-6.2029965847414	0.480210143425703	-12.9172543930262	3.59750922799007e-38	5.44980816537845e-36
X2610035D17Rik	4.56923203210361	2.64052128037434	0.204879773570367	12.8881501299954	5.24877501703004e-38	7.85988976113418e-36
Greb1l	2.98740419930164	5.19615651394773	0.404872579463278	12.8340539160149	1.05686117667467e-37	1.56463493292245e-35
Grin1	6.20822020155663	-4.7804131519627	0.374059495638611	-12.7798203432889	2.12559953328993e-37	3.11149558648328e-35
Galnt13	11.6776166338185	-4.51574514586688	0.353489959298915	-12.7747479866842	2.26881370809168e-37	3.28423388766871e-35
Lpp	6.62745057019813	2.73559466827613	0.21502082864548	12.7224636120555	4.43648407644063e-37	6.35148511515038e-35
Rgs20	3.41430000529235	2.74359589859363	0.215669970419747	12.7212698794084	4.50479057890122e-37	6.37917518064403e-35
Plce1	5.22015605759636	7.65339444081468	0.60231459742611	12.7066394763138	5.43189795902465e-37	7.60932974302937e-35
