baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Ptprk	10.9784473662194	3.18693859936619	0.499851810783536	6.3757668385167	1.82049715225538e-10	2.03331810253232e-08
Cit	4.49995794859617	-1.70099939191363	0.267512446475661	-6.35858037382343	2.0362683195352e-10	2.25436337375911e-08
Kcnj3	10.059198390541	-1.95351179541721	0.307812222027074	-6.34643999043477	2.20354443044459e-10	2.41834210927314e-08
Pcdh7	15.4908055856033	-2.81549387616401	0.44550982661373	-6.31971217686545	2.62050919673897e-10	2.85115918724505e-08
Socs2	1.88724219589336	4.09990975576802	0.656233830871444	6.24763546604044	4.16712826382045e-10	4.49515605279298e-08
Rbms3	6.46112512823961	-2.660386775455	0.426159832222878	-6.24269716265431	4.30089116957706e-10	4.60013113993492e-08
Sh3kbp1	2.78916642170583	-4.41599815642873	0.710418856126833	-6.21604862869846	5.09830096268238e-10	5.4071980210096e-08
Rapgef5	4.89459602495727	-5.28147429697006	0.850178999913139	-6.21219095920937	5.22508735703764e-10	5.49548562776434e-08
Syndig1	6.1293384867127	3.86907495742131	0.624799262720938	6.19250883967416	5.92140276694578e-10	6.17636564641509e-08
Tnr	20.6538629685413	2.7240725022854	0.440314157713325	6.18665662814993	6.14536226832483e-10	6.3574276384039e-08
Atp8a2	4.44981325912792	-1.90659010586758	0.309609927887857	-6.15803930731239	7.36510779924458e-10	7.5573191491273e-08
Nos1ap	4.06195640969734	2.62114794797345	0.426814648531406	6.1411855403566	8.1907842525523e-10	8.29620779365705e-08
Tll1	3.5662079937629	-2.71873838234171	0.442741919035625	-6.14068437039716	8.21667042395319e-10	8.29620779365705e-08
Apba1	9.48020759110407	-1.59497550951698	0.259814473025898	-6.1389016975894	8.30939643266036e-10	8.32324542671479e-08
Epb41l1	1.60128559461796	-2.79040820155917	0.45583749119782	-6.12149780446254	9.26997964511332e-10	9.21231599220277e-08
Cpeb2	2.31109900604114	-3.91037645509575	0.646014951823721	-6.05307422693025	1.42107345494466e-09	1.40120063084817e-07
Adam23	3.24791213307236	-2.32080621722876	0.385068565995913	-6.02699472813732	1.67036449577399e-09	1.63423800784213e-07
Gm20642	3.89033040487431	-2.34384119789295	0.390915899581051	-5.99576840032568	2.02525488576631e-09	1.96621091640435e-07
Fam135b	4.68028524744257	-4.17176219952246	0.701457883450404	-5.94727395321579	2.7264489334907e-09	2.62675664042642e-07
Adgrl3	27.2225624507914	1.9068795701402	0.320737805578863	5.945290941611	2.75966253058969e-09	2.63861369686155e-07
Alcam	7.23589687066059	-2.92919646305795	0.494084053581322	-5.92853876142317	3.05642270957496e-09	2.9003842870335e-07
Dgkg	4.98798053516732	-5.00987499376797	0.84744502668088	-5.91174039145613	3.38511772879679e-09	3.18832618321972e-07
Pcdh17	2.65838605082689	-4.90664055426937	0.83183910858484	-5.89854516772691	3.66720584621286e-09	3.42842999889278e-07
Ano4	4.73229553889233	-2.58370691452572	0.439375676673457	-5.88040497391013	4.09263912515074e-09	3.79802929400938e-07
Pvt1	3.36138134494385	-2.30508837463625	0.393142662169158	-5.86323641885611	4.5393117678041e-09	4.18179954901136e-07
Alk	2.16062270949034	-4.54679819222761	0.776797571742326	-5.8532600482122	4.8202952350932e-09	4.40847435957328e-07
Dock4	19.9117178863103	-2.09047441091874	0.357308835166583	-5.8506093473567	4.89775343558231e-09	4.44708964823629e-07
Pacsin2	2.24778120424709	-4.01022365515368	0.686309197222047	-5.84317341423623	5.12156525483466e-09	4.61709107723345e-07
Lrrc9	0.451169911960713	-5.58348453746141	0.960805584987843	-5.8112532074135	6.20068930279847e-09	5.5502765738028e-07
X9530059O14Rik	4.00652426895036	-6.34359813363609	1.09454542901903	-5.79564627054488	6.80585795219805e-09	6.04906571934448e-07
Gm15398	2.29101627814204	-6.56027944726125	1.13582500605159	-5.77578360425998	7.65957642806278e-09	6.76024574115946e-07
Dopey2	1.77196211559857	-2.16264486955177	0.374655546568177	-5.77235513890419	7.8171140835579e-09	6.85137478115168e-07
