baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Adrbk2	2.27657890006606	4.59501262970314	0.248396101444953	18.4987308696608	2.11393364436239e-76	5.35862236075636e-74
Cdh18	17.9658348435028	-6.20717754700967	0.335985732762716	-18.4745271650965	3.3111551221766e-76	8.23803130860048e-74
Prex2	8.87010112908622	9.88942058566151	0.535612613051915	18.4637559771263	4.0422906842898e-76	9.87421369880608e-74
Ahcyl1	3.82765513107515	2.45965775080452	0.133328178579324	18.4481463484566	5.39645879419642e-76	1.29466828392909e-73
Sfxn5	4.83124449728229	2.18565955575527	0.118652211587649	18.4207232761161	8.95982567373185e-76	2.11184663029101e-73
Sparcl1	9.19710944054883	6.04860965651403	0.329564094202257	18.3533636185559	3.10294823903821e-75	7.18760510197903e-73
Ctnnd2	33.2860679280262	2.86105648327218	0.156004272110021	18.3396034260808	3.99702156563209e-75	9.10169232784188e-73
Bcl6	3.21957639670083	3.92452315477354	0.214082597987583	18.3318176800206	4.6123098985665e-75	1.03277305812068e-72
Nrcam	8.68762069588769	2.90121674579081	0.158606520241946	18.2919134810168	9.5985827752442e-75	2.11404851779354e-72
Cdh4	3.88434661238583	6.63597189828433	0.365038355281236	18.1788346410113	7.59302190250296e-74	1.64535885903431e-71
Pnpla7	3.31834608206207	5.37855414818872	0.295990497914566	18.1713743720961	8.69918062312336e-74	1.85513478843908e-71
Gm3764	11.5724195812318	9.58905337057895	0.527992278373333	18.1613515260515	1.04422067064698e-73	2.19204761095972e-71
Syne1	9.97598278969534	2.19483708186165	0.12165538934017	18.0414291036832	9.21302865159985e-73	1.90426215283452e-70
Cacna1a	22.8377357038487	-2.78369105150695	0.154618853128845	-18.0035680977874	1.82662773001841e-72	3.71829447769657e-70
Appl2	3.49800955451776	4.12891334611084	0.22961217747826	17.9821183329955	2.69015449637844e-72	5.39436203863347e-70
Chpt1	4.32307054256568	4.20734027196043	0.234770178180994	17.9211018390795	8.07135282550663e-72	1.59468566486297e-69
Phka1	4.29772705853425	4.598451709036	0.25732702211286	17.870069265478	2.01743710942378e-71	3.92815471958094e-69
