sep=;
"Cluster";"Purkinje";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:1905369";"endopeptidase complex";"18/2680";"70/23271";0.00075988709927198;0.0153243898353183;0.0116204956993931;"Dnajb2/Gpaa1/Pigs/Pigt/Psmb10/Psmb3/Psmb6/Psmb8/Psmb9/Psmc3/Psmc4/Psmd2/Psmd8/Psme3/Rad23a/Ube3a/Ubqln4/Zfand2b";18
"SF3A66";"SF3A66";"GO:0019897";"extrinsic component of plasma membrane";"37/2680";"189/23271";0.000844564012439337;0.0165717154873232;0.0125663436274758;"Alox15/Apc2/Apoe/Arsa/Art2b/Cdh15/Cdh22/Cyth2/Cyth3/Dlg4/Epn3/Esyt1/Fes/Gm5741/Gna11/Gna15/Gnai2/Gnat1/Gnb3/Gng13/Gng7/Iqgap1/Numa1/Olfm1/Plekha4/Prss8/Ptk6/Rac1/Racgap1/Rhoa/Rtbdn/Ryr1/Shank3/Srms/Stac2/Stac3/Tnk1";37
"SF3A66";"SF3A66";"GO:0097060";"synaptic membrane";"77/2680";"470/23271";0.000906512557674341;0.0171872195662249;0.0130330808077942;"Abhd17a/Ache/Acp4/Arrb2/Atp1a3/Baiap2/Bsn/Cacna1a/Cacna1h/Cfl1/Chrm4/Chrna4/Chrnb1/Chrne/Clstn3/Cnih2/Cntnap1/Comt/Cyth2/Dag1/Dagla/Daglb/Ddn/Dlg4/Dnm1/Drd4/Efnb3/Eno2/Erbb3/Faim2/Flot2/Fosl1/Grid2ip/Grik5/Grin1/Grin2d/Grin3b/Hip1r/Igsf21/Kcnc1/Kcnc3/Kcnj4/Lin7b/Lpar2/Lrfn1/Lrfn3/Lrfn4/Lrp4/Lrrc4b/Mpp2/Ndufs7/Nlgn2/Nrxn2/Ntng2/Olfm1/P2ry2/Palm/Pde2a/Pip5k1c/Prrt1/Prrt2/Psenen/Ptprf/Ptprs/Rapsn/Sema4b/Shank1/Shank3/Shisa7/Slc16a3/Stx1b/Stx4a/Syt3/Syt7/Tmem240/Tmub1/Unc13a";77
"SF3A66";"SF3A66";"GO:0030532";"small nuclear ribonucleoprotein complex";"16/2680";"60/23271";0.000958894450253699;0.0173278978811424;0.0131397572739415;"Cd2bp2/Ddx23/Ddx39b/Eftud2/Lsm2/Lsm4/Lsm7/Luc7l3/Nolc1/Prpf40b/Prpf6/Sart1/Sf3a2/Sf3b2/Snrnp70/Snrpd2";16
"SF3A66";"SF3A66";"GO:0000139";"Golgi membrane";"47/2680";"261/23271";0.00124919832999525;0.0197156084255772;0.0149503598761445;"Arfgap1/B4galnt1/B4galnt4/Baiap3/Chpf/Clba1/Clip3/Cln3/Creb3/Creb3l1/Furin/Gba2/Gfy/Gnptg/Golga2/Gpsm1/Hpd/Hyal2/Inpp5e/Kdelr1/Kdelr2/Kdelr3/Llgl1/Man2a2/Mapk8ip3/Mymk/Mymx/Notch1/Nucb1/Numa1/Pcsk4/Ptges2/Pycard/Qsox2/Rab26/Rac1/Rfng/Rgp1/Scamp3/Scamp4/Slc35b2/Sptbn2/Sys1/Tapbp/Tepsin/Yif1a/Yif1b";47
"SF3A66";"SF3A66";"GO:0002080";"acrosomal membrane";"9/2680";"25/23271";0.00127750499377864;0.0197333750102828;0.0149638322899491;"Bsg/Flot2/Hyal3/Izumo1/Pcsk4/Sun1/Tex101/Tmem190/Tmem95";9
"SF3A66";"SF3A66";"GO:0030137";"COPI-coated vesicle";"10/2680";"30/23271";0.00137155149622418;0.0207447163803907;0.0157307331694133;"Actr1a/Cope/Copz2/Kdelr1/Kdelr2/Kdelr3/Pacs1/Scyl1/Tmem199/Use1";10
"SF3A66";"SF3A66";"GO:0005844";"polysome";"18/2680";"74/23271";0.00152077140667443;0.0215101461416012;0.0163111591011417;"Abcf1/Calr/Drg1/Eef2/Eif4g1/Fus/Fxr2/Larp4/Mcrs1/Naa38/Nufip2/Rpl18/Rpl18a/Rpl19/Rpl7a/Rps28/Unk/Ybx2";18
"SF3A66";"SF3A66";"GO:0005761";"mitochondrial ribosome";"21/2680";"92/23271";0.0015406716244673;0.0215101461416012;0.0163111591011417;"2810006K23Rik/Mpv17l2/Mrpl10/Mrpl11/Mrpl12/Mrpl14/Mrpl2/Mrpl20/Mrpl28/Mrpl34/Mrpl38/Mrpl45/Mrpl49/Mrpl54/Mrps12/Mrps18a/Mrps18b/Mrps23/Mrps34/Mrps7/Ndufa7";21
"SF3A66";"SF3A66";"GO:0030663";"COPI-coated vesicle membrane";"7/2680";"17/23271";0.00181522162651569;0.0244046463120443;0.0185060606367974;"Cope/Copz2/Kdelr1/Kdelr2/Kdelr3/Scyl1/Tmem199";7
"SF3A66";"SF3A66";"GO:0031225";"anchored component of membrane";"37/2680";"198/23271";0.00201380053394829;0.0261074854936868;0.0197973247980255;"Abhd17a/Ache/Art2b/Bst2/Cd177/Dlg4/Dnajc5/Dpep2/Dpep3/Efna1/Efna2/Efna3/Efna4/Flot2/Folr1/Folr2/Gp1ba/Hyal2/Igsf21/Ly6g6c/Ly6g6d/Lypd10/Lypd11/Lypd3/Lypd4/Mpp2/Msln/Nrn1l/Ntng2/Prss8/Rab11b/Rab26/Rab3a/Rtbdn/Spaca4/Tex101/Zfand2b";37
"SF3A66";"SF3A66";"GO:0070971";"endoplasmic reticulum exit site";"10/2680";"32/23271";0.00237490379725921;0.0296101450384254;0.0224533940192786;"H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Preb/Sec16a";10
"SF3A66";"SF3A66";"GO:0098862";"cluster of actin-based cell projections";"37/2680";"200/23271";0.00241191616923866;0.0296101450384254;0.0224533940192786;"Actn3/Amn/Capzb/Cdhr5/Ceacam1/Coro1a/Dcxr/Ddr1/Eps8l2/Fchsd2/Flii/Folr1/Fscn2/Hsp90aa1/Hsp90ab1/Ift20/Lima1/Myh14/Myl6/Myo15/Myo18a/Myo1a/Nppa/Ocm/Pld2/Plec/Rac1/Rgs19/Slc22a12/Slc26a6/Slc27a4/Slc34a3/Slc46a1/Slc5a6/Slc9a3r2/Tprn/Ush1c";37
"SF3A66";"SF3A66";"GO:0099146";"intrinsic component of postsynaptic density membrane";"18/2680";"77/23271";0.00244711942466325;0.0296101450384254;0.0224533940192786;"Abhd17a/Chrm4/Clstn3/Cnih2/Dlg4/Efnb3/Grik5/Grin1/Grin2d/Grin3b/Lrfn1/Lrfn3/Lrfn4/Lrrc4b/Mpp2/Ptprf/Ptprs/Slc16a3";18
