sep=;
"Cluster";"MLI1";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"SF3A66";"SF3A66";"GO:0005797";"Golgi medial cisterna";"9/2597";"23/23271";0.000500629479940005;0.00956465795885378;0.00722515122018678;"B3galt6/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7";9
"SF3A66";"SF3A66";"GO:0005743";"mitochondrial inner membrane";"72/2597";"444/23271";0.000737689881764024;0.0131894270057031;0.00996330501663234;"Acadvl/Afg3l1/Atad3a/Atp5b/Atp5d/Atp5g2/Atp5h/Cnp/Coa3/Coq4/Coq5/Coq8b/Cox6a1/Cox6a2/Cox6b1/Cox7a1/Cox8a/Crat/Cyc1/Cyp11b1/Cyp11b2/Dhrs13/Dmac2/Eci1/Endog/Eral1/Fahd1/Fpgs/Gcdh/Gpx4/Micos10/Micos13/Mrps21/Ndufa11/Ndufa13/Ndufa3/Ndufa4l2/Ndufa7/Ndufb10/Ndufs7/Ndufs8/Ndufv1/Pcx/Pink1/Plscr3/Pmpca/Prodh2/Rdh13/Rhot2/Sco2/Sdhb/Shmt2/Sirt4/Slc25a10/Slc25a11/Slc25a19/Slc25a20/Slc25a25/Slc25a35/Slc25a39/Slc25a42/Slc25a45/Slc27a1/Sphk2/Stat3/Timm13/Timm50/Tmem256/Tomm40/Tufm/Uqcc2/Uqcr11";72
"SF3A66";"SF3A66";"GO:0070603";"SWI/SNF superfamily-type complex";"18/2597";"73/23271";0.000893192299220981;0.0150804095170798;0.0113917549056091;"0610010K14Rik/Bicral/Chd3/Chd5/Dpf1/Dpf2/Gatad2a/Ino80e/Kat5/Mbd3/Mcrs1/Ruvbl2/Smarcc2/Smarcd1/Smarce1/Srcap/Tfpt/Zbtb7a";18
"SF3A66";"SF3A66";"GO:0005891";"voltage-gated calcium channel complex";"12/2597";"40/23271";0.00101559425973024;0.016028726794873;0.0121081146297358;"Cacna1a/Cacna1h/Cacnb1/Cacnb3/Cacng7/Cacng8/Catsper1/Catsperd/Catsperg1/Catsperg2/Catsperz/Stac3";12
"SF3A66";"SF3A66";"GO:0000323";"lytic vacuole";"72/2597";"460/23271";0.00193862466390974;0.0253450239000953;0.0191456538378276;"Abca2/Acp4/Apoe/Aqp2/Arsa/Ass1/Atp13a2/Bbc3/Borcs6/Borcs8/Capn1/Cd68/Clcn7/Cln3/Ctsa/Ctsf/Ctsw/Dnase2a/Doc2a/Dpp7/Fnbp1/Ftl1/Gaa/Gabarap/Gfap/Glmp/Gpr137/Grn/H2-Aa/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-Ob/Hgs/Hsp90ab1/Ifitm3/Il4i1/Kptn/Kxd1/Lamtor2/Man2b1/Mtor/Napsa/Nbr1/Neu1/Pla2g5/Pld3/Plekhm1/Ppt2/Prss57/Prtn3/Rptor/Sgsh/Shkbp1/Slc11a2/Slc26a11/Slc2a6/Sphk2/Sppl2b/Syt11/Tcirg1/Tm4sf5/Tmem79/Tpsab1/Tsc2/Ubxn6/Unc13d/Unc93b1/Vps11/Vps33a/Wdr24";72
"SF3A66";"SF3A66";"GO:0005764";"lysosome";"72/2597";"460/23271";0.00193862466390974;0.0253450239000953;0.0191456538378276;"Abca2/Acp4/Apoe/Aqp2/Arsa/Ass1/Atp13a2/Bbc3/Borcs6/Borcs8/Capn1/Cd68/Clcn7/Cln3/Ctsa/Ctsf/Ctsw/Dnase2a/Doc2a/Dpp7/Fnbp1/Ftl1/Gaa/Gabarap/Gfap/Glmp/Gpr137/Grn/H2-Aa/H2-DMa/H2-DMb1/H2-DMb2/H2-Eb1/H2-Ob/Hgs/Hsp90ab1/Ifitm3/Il4i1/Kptn/Kxd1/Lamtor2/Man2b1/Mtor/Napsa/Nbr1/Neu1/Pla2g5/Pld3/Plekhm1/Ppt2/Prss57/Prtn3/Rptor/Sgsh/Shkbp1/Slc11a2/Slc26a11/Slc2a6/Sphk2/Sppl2b/Syt11/Tcirg1/Tm4sf5/Tmem79/Tpsab1/Tsc2/Ubxn6/Unc13d/Unc93b1/Vps11/Vps33a/Wdr24";72
"SF3A66";"SF3A66";"GO:1904949";"ATPase complex";"18/2597";"78/23271";0.00200959323932579;0.0253450239000953;0.0191456538378276;"0610010K14Rik/Bicral/Chd3/Chd5/Dpf1/Dpf2/Gatad2a/Ino80e/Kat5/Mbd3/Mcrs1/Ruvbl2/Smarcc2/Smarcd1/Smarce1/Srcap/Tfpt/Zbtb7a";18
"SF3A66";"SF3A66";"GO:1990351";"transporter complex";"53/2597";"319/23271";0.00202480907190844;0.0253450239000953;0.0191456538378276;"Abcc8/Atp1a3/Atp1b2/Atp2a2/Atp5g2/Best2/Cacna1a/Cacna1h/Cacnb1/Cacnb3/Cacng7/Cacng8/Catsper1/Catsperd/Catsperg1/Catsperg2/Catsperz/Chrna4/Chrnb1/Chrne/Clic1/Clic3/Cnih2/Cpt1c/Dlg4/Gabrd/Grik5/Grin1/Grin2d/Grin3b/Hcn2/Kcna7/Kcnab2/Kcnab3/Kcnc1/Kcnc3/Kcnj11/Kcnk4/Kcnq2/Lrrc26/Lrrc8a/Pkd1/Ptpa/Ryr1/Scn8a/Scrib/Shank1/Shank3/Stac3/Timm13/Trpm4/Ttyh1/Vamp2";53
"SF3A66";"SF3A66";"GO:0031984";"organelle subcompartment";"53/2597";"321/23271";0.00232256086462817;0.0281029864620009;0.0212290212363382;"Ap1s1/Ap3d1/Aqp2/Arfrp1/Arl5c/Atl3/Atp8b2/Atp8b3/Atxn2/B3galt6/B4galnt4/Baiap3/Becn1/Bsn/C2cd2l/Clip3/Cln3/Cpd/Fut7/Gga3/Golga2/Grn/H2-D1/H2-K1/H2-Q1/H2-Q10/H2-Q2/H2-Q4/H2-Q6/H2-Q7/Kpnb1/Myo18a/Nucb1/Pcsk4/Pheta1/Pick1/Plekhj1/Rab34/Rnf41/Rtn2/Ryr1/Scamp3/Scamp4/Slc11a2/Slc2a4/Stx4a/Syt11/Tepsin/Tjap1/Tmem79/Trappc6a/Vamp2/Vps51";53
"SF3A66";"SF3A66";"GO:0000151";"ubiquitin ligase complex";"48/2597";"285/23271";0.00241944379640005;0.0283309063901038;0.0214011921549138;"Anapc11/Anapc2/Anapc5/Anapc7/Arih2/Brap/Brca1/Cblc/Cbx2/Cbx4/Cbx8/Ccnf/Cks1b/Cks1brt/Cul7/Cul9/Dcaf15/Dda1/Dmac2/Fbxl16/Fbxl19/Fbxl20/Fbxl6/Fbxo17/Fbxo27/Fbxw5/Fem1a/Fzr1/Kctd13/Kctd2/Med1/Med11/Med24/Mib2/Nccrp1/Neurl2/Ranbp10/Ring1/Rnf40/Sharpin/Spsb3/Stub1/Syvn1/Traf2/Traf7/Ube2j2/Zer1/Zswim4";48
